video-frame,0,1,2,3,4,5,6,7,target
7_2_1_17_30_3_m,0.2550742607792759,0.04343478498882322,0.013364989703099494,0.06784750153508022,-0.01302590256206027,0.017128557969968875,0.01910627633496762,0.019764141821652353,7
7_2_2_11_30_5_m,0.11665578528779584,-0.01456307658331711,0.015471213480482669,0.008321502079362449,0.008552810080627214,0.030010901348961286,-0.010103818318431063,-0.013976730014327254,7
7_2_1_17_30_4_m,0.19733708503413394,0.03220974379103021,0.00762575583462538,0.057664741567358915,0.0017682985023675564,0.012692445085780841,0.007975915322741703,-0.006425755514746779,7
7_2_1_13_30_3_m,0.08689626760907594,-0.012321050936794307,-0.015130745866717194,0.04843179275535245,-0.00647108770101197,-0.0028381895584358263,0.0025140036221089736,-0.02476800850123294,7
7_2_1_13_30_2_m,0.04112795627113136,-0.018370779108367888,-0.016072903001533006,0.04676812685172482,-0.003606907764846127,-0.012755780227602879,-0.0014878502020277552,-0.02196326955035329,7
7_2_1_17_30_2_m,0.1104345799734818,0.00047283397382116117,-0.008035451403711742,0.05541794558420056,-0.00446177836727873,-0.0070543337858296985,0.0037718833471432423,-0.01050553432389597,7
7_2_2_18_30_2_m,0.0893675515230748,-0.011654165684775435,-0.005142827165362383,0.040371468929691075,0.0032312490214635946,-0.010391338533684971,6.766353962482163e-05,-0.007175236028033387,7
7_1_2_9_30_3_m,0.06654402037439301,-0.020948244537777543,-0.01087406285640114,0.026598319370751532,0.01180770078038653,-0.011814447488120485,-0.004736161039902542,0.014881189055374429,7
7_1_1_15_30_5_m,0.08112577501598293,-0.0191397311227517,-0.009654227454599693,0.00487601054402373,0.015858645484748093,-0.008064881710282289,-0.012463623855554617,0.025199390628721438,7
7_1_1_10_30_2_m,0.06203483529072074,-0.024091168370468326,0.007353185061571283,0.0016268601761822619,0.012830329052679735,-0.018187569683215304,-0.006571995901590481,0.018126564715683042,7
7_1_1_17_30_4_m,0.05322244452920542,-0.02911566899475265,0.010516651687412424,0.0026035486701096126,0.011034557731493274,-0.017333352203789978,-0.003773852243986192,0.014748829057636574,7
7_2_2_5_30_3_m,0.0340766487691047,-0.029672083297450573,0.032087835567583545,0.00432917090485758,0.006309216377784192,-0.01248783769746067,-0.009072417631904861,0.012157599533127663,7
7_1_1_10_30_3_m,0.02460708061829662,-0.03694936095569863,0.03683032692028212,0.005099479455797086,0.005213573070538515,-0.020115642848450715,-0.005593206997127688,0.00550337008127099,7
7_2_2_12_30_1_m,0.02901241432744703,-0.03708434539462968,0.026642233847371816,0.002339156629574555,0.006534532808854855,-0.010967696254202162,-0.008042705922945185,-0.0050301982262830865,7
