video-frame,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
7_2_1_17_30_3_m,0.25507426077927603,0.04343478498882352,0.013364989703099427,0.0678475015350803,-0.013025902562048948,0.017128557968149546,0.019106276334795513,0.019764141847671477,-0.00118350389211361,0.006198460537585855,0.014165742600675095,0.017571893068043312,0.013317910527744064,-0.006551802552757389,-0.00591777684435532,0.002462006186188144,0.0019122347054338381,-0.0020515260259143836,-0.0011463074222368018,0.0001264403295772924,7
7_2_2_11_30_5_m,0.11665578528779592,-0.01456307658331684,0.015471213480482662,0.008321502079362365,0.008552810080655329,0.030010901344064513,-0.010103818319955955,-0.013976729942289186,0.041047447420696354,0.0018540797921403982,0.005769015754315906,-0.007587593910509555,-0.011891516764751258,0.0023073271552693357,0.005817067911338108,0.01060931949369656,0.005779437205831462,0.0002897213015996712,-0.005343176035693191,0.0032409552752391494,7
7_2_1_17_30_4_m,0.197337085034134,0.03220974379103052,0.007625755834625457,0.05766474156735899,0.0017682985023208253,0.012692445093778471,0.00797591532321177,-0.0064257556247779525,0.0023711094049218054,0.015127587647354756,-0.011928094953135748,-0.004810253806265708,-3.0423546638897935e-05,0.004654042678617207,0.01058548927646616,-0.005160207432955218,-0.004896622087133551,0.002248060784503897,0.007072687554645161,-0.0007593953011280669,7
7_2_1_13_30_3_m,0.08689626760907611,-0.012321050936794172,-0.015130745866717192,0.04843179275535256,-0.0064710877010493014,-0.002838189551560499,0.002514003623554789,-0.024768008595579826,-0.008406433981674745,0.0016374688219990636,-0.003140435384339645,-0.01337397150486002,-0.008286670823120844,-0.0012292461873192467,-0.003802745716422263,-0.0021249756044152096,0.0050146041844460355,-0.0039987045916449245,0.008463220016591357,-0.0031842483194357367,7
7_2_1_13_30_2_m,0.04112795627113143,-0.018370779108367832,-0.01607290300153296,0.04676812685172488,-0.003606907764800189,-0.012755780235634534,-0.0014878502026682092,-0.0219632694412662,-0.011358459336137548,-0.013017552011943528,-0.00047203810198234817,-0.009805442944261179,-0.008171610637339313,-0.0025068973422797667,-0.006248997592930565,-0.002769402927243082,2.824515151473707e-05,-0.003639947900041231,-0.00720955662328564,-0.0006186094983211045,7
7_2_1_17_30_2_m,0.11043457997348188,0.0004728339738213292,-0.008035451403711723,0.055417945584200615,-0.0044617783672566995,-0.00705433378975373,0.003771883346755598,-0.010505534270956643,-0.01127956073489121,-0.007044503848613315,-0.0022619382159211956,-0.003802873326587574,-0.00231797330753793,-0.001051891566941926,-0.002613050513227028,-0.005713482071863734,-0.00198195769169536,-0.0008885983969916317,-0.004077589312328787,-0.00010054612605080671,7
7_2_2_18_30_2_m,0.08936755152307485,-0.011654165684775293,-0.005142827165362339,0.040371468929691,0.0032312490214970262,-0.010391338539497367,6.7663540006015e-05,-0.007175235952395738,-0.004086947861770028,-0.0058948620565044355,-0.002208947441938997,-0.0013169706139264253,-0.002205874668500956,-0.0005697841331474728,0.0021468350915019013,-0.0009742463880791962,-0.00432680782814478,-0.0002704315600105984,-0.006116714130734004,-0.0009319106769376972,7
7_1_2_9_30_3_m,0.0665440203743931,-0.020948244537777445,-0.010874062856401124,0.026598319370751463,0.011807700780384024,-0.011814447487332522,-0.004736161036539172,0.014881189033776878,-0.00963429877813207,-0.0037039342328440733,-0.007850367967045796,0.0021469348571761656,-0.008833848946979198,0.008410661694973518,-0.0043613724056063815,0.0038524189955683632,-0.002689167972478417,0.012330007763484863,-0.0010810458037010559,-0.0002860576236777533,7
7_1_1_15_30_5_m,0.08112577501598299,-0.019139731122751545,-0.009654227454599679,0.0048760105440236005,0.01585864548471458,-0.008064881704524322,-0.012463623856907148,0.025199390557905564,0.001388033350635994,-0.006571393195941809,-0.006448617968892554,-0.0016511677379240691,-0.007943482670748745,0.0010376386890046765,-0.005862226503371774,0.0029016046743063593,-0.002292377010613857,0.003329700633675481,0.003876857294241382,0.0051917684704826505,7
7_1_1_10_30_2_m,0.06203483529072086,-0.024091168370468184,0.007353185061571295,0.0016268601761821415,0.012830329052679739,-0.018187569683548305,-0.006571995903801231,0.018126564725977016,0.004984546485608867,-0.0014900276770827931,-0.005948960055788128,-0.0004529807858798245,-0.004529329167707566,0.004266457900893149,-0.003464958292619551,0.0013163442894215894,0.0006972223574047327,-0.0023504769619530934,0.00024397223942524494,0.002089104309938425,7
7_1_1_17_30_4_m,0.05322244452920552,-0.029115668994752437,0.010516651687412443,0.002603548670109506,0.01103455773150453,-0.0173333522059583,-0.003773852244783161,0.014748829087209446,0.0024113888954439377,-0.000723943874249061,-0.0051163321693632954,-4.1059956960827476e-05,-0.0010038508064627706,0.0033853212013819044,-0.001217258912625047,0.001356271741213388,0.0013042366985833967,-0.0004763397430683398,-0.0013887359449834093,-7.2434918822204e-06,7
7_2_2_5_30_3_m,0.03407664876910478,-0.029672083297450465,0.03208783556758358,0.004329170904857507,0.00630921637781213,-0.012487837702337776,-0.009072417631326999,0.012157599595200557,0.0039758964528317006,-0.0037340387177568334,-0.0013980594742074638,-0.0010228234005950892,0.0021038999113068605,0.005668710747196993,-0.0054434946350942716,-0.001943753674845059,0.0022417279301950813,-0.0012638818384762133,-0.003487218971486099,-0.002495190406826415,7
7_1_1_10_30_3_m,0.02460708061829667,-0.03694936095569849,0.03683032692028214,0.005099479455797025,0.005213573070569479,-0.020115642853715077,-0.0055932069957659565,0.005503370146318428,0.0030014715033831615,-0.002026186718601552,-0.005482895333565123,-0.0005805727000821227,0.006918533831251275,0.004731553968981163,0.002215056625445538,-0.0005628175758273967,0.0029877534039277885,-0.0010708835113675975,-0.0040258069105894466,-0.003652716799057811,7
7_2_2_12_30_1_m,0.029012414327447125,-0.03708434539462962,0.026642233847371848,0.002339156629574501,0.006534532808852619,-0.010967696253727727,-0.008042705922882434,-0.005030198232292215,0.0007374341703949755,-0.009500114313410095,-0.0022193099050064322,-0.0018309385791760132,0.00874192062106822,0.0007231992062692739,0.0016617624442250513,-4.4506164712559805e-05,0.002581101910249963,0.0007891406448340743,0.0003237438941391015,0.0003196098810061322,7
