video-frame,0,1,2,3,target
7_2_1_17_30_3_m,0.25507426077927603,0.043434784988823354,0.013364989703099567,0.06784750153508169,7
7_2_2_11_30_5_m,0.1166557852877959,-0.014563076583316924,0.015471213480482615,0.008321502079358422,7
7_2_1_17_30_4_m,0.19733708503413405,0.03220974379103039,0.007625755834625472,0.057664741567357534,7
7_2_1_13_30_3_m,0.08689626760907614,-0.0123210509367942,-0.015130745866717142,0.048431792755353927,7
7_2_1_13_30_2_m,0.04112795627113149,-0.018370779108367864,-0.016072903001532943,0.04676812685172712,7
7_2_1_17_30_2_m,0.11043457997348193,0.0004728339738212553,-0.008035451403711681,0.0554179455842026,7
7_2_2_18_30_2_m,0.08936755152307493,-0.011654165684775335,-0.0051428271653623315,0.04037146892969087,7
7_1_2_9_30_3_m,0.06654402037439315,-0.020948244537777442,-0.010874062856401101,0.026598319370751043,7
7_1_1_15_30_5_m,0.08112577501598295,-0.01913973112275159,-0.009654227454599668,0.004876010544024209,7
7_1_1_10_30_2_m,0.06203483529072088,-0.02409116837046824,0.007353185061571272,0.0016268601761823243,7
7_1_1_17_30_4_m,0.05322244452920548,-0.02911566899475257,0.010516651687412419,0.002603548670109234,7
7_2_2_5_30_3_m,0.03407664876910479,-0.029672083297450517,0.032087835567583524,0.0043291709048587845,7
7_1_1_10_30_3_m,0.02460708061829668,-0.0369493609556985,0.03683032692028209,0.005099479455796313,7
7_2_2_12_30_1_m,0.029012414327447132,-0.03708434539462971,0.02664223384737183,0.002339156629574093,7
7_1_1_15_30_2_m,0.04213155625574936,-0.033811822886185665,0.02163877920087739,-0.006203080842676428,7
7_1_1_17_30_1_m,0.03852905784031482,-0.03620633115231442,0.02256199366068004,-0.005307968353206724,7
7_2_2_13_30_2_m,0.03760437274529905,-0.02998946272857131,0.029628329699317665,-0.010059057869844068,7
7_1_2_17_25_2_m,0.03279305507095056,-0.028455679756462293,0.03018019669596583,-0.010766788843525688,7
7_2_2_8_30_5_m,0.014533127054657535,-0.029995622320163427,0.02488138750104608,-0.0040514498886576366,7
7_1_1_10_30_4_m,0.012532039860589778,-0.03139858476077739,0.02916276978211675,-0.002267932641430315,7
7_1_1_17_30_2_m,0.010119656076079049,-0.03330244264910145,0.03004869728121664,-0.0015636867989886564,7
7_2_2_10_24_5_m,0.009158092854374092,-0.03514586873801084,0.02486170149600212,-0.0014196507242323231,7
7_1_2_7_30_5_m,0.009293484833266249,-0.03307817575621688,0.025720507270072947,-0.001662375028461112,7
7_2_2_12_30_5_m,0.013367979608817021,-0.03577419167615259,0.021236358023357698,-0.0021037832529434497,7
7_2_2_12_30_3_m,0.01736976494680324,-0.039059374600120676,0.017854365782632175,-0.0033327363945684133,7
7_2_2_8_30_3_m,0.003211173730670397,-0.03941642036588011,0.01565938504230017,0.0014707032171183243,7
7_2_2_10_24_3_m,0.002157425983884141,-0.03697795981465567,0.012786207434951524,0.004206150045882103,7
7_2_2_12_30_2_m,0.006437292630007681,-0.03813656718417122,0.009098082974701278,0.0033016439972920917,7
7_2_2_13_30_1_m,0.010655990351311056,-0.033359698581846044,0.009322747465189896,-0.00023275142231684115,7
7_1_1_10_30_5_m,0.010231350998672882,-0.034413617385411856,0.013346660184724262,-0.00030901908847448474,7
7_2_2_13_30_5_m,0.010298674719851948,-0.03128214479589324,0.01775014071059179,-0.0025758248341585894,7
7_2_2_8_30_2_m,-0.0008839211765080427,-0.03311269451462539,0.015804107783799485,0.00022616762818897088,7
7_1_1_17_30_5_m,-0.0020680010267520176,-0.034460141902593694,0.01648872400750237,0.0009385712805696319,7
