Kernel,Smoothing Param,Accuracy,F1-Score,Precision,Recall
Uniform,0.05,11.88%,2.65%,11.88%,11.88%
Uniform,0.1,14.37%,9.23%,14.37%,14.37%
Uniform,0.2,20.62%,14.35%,20.62%,20.62%
Uniform,0.3,12.50%,2.79%,12.50%,12.50%
Uniform,0.5,12.50%,2.78%,12.50%,12.50%
Uniform,0.6,12.50%,2.78%,12.50%,12.50%
Uniform,0.7,12.50%,2.78%,12.50%,12.50%
Uniform,0.8,12.50%,2.78%,12.50%,12.50%
Uniform,1.0,12.50%,2.78%,12.50%,12.50%
Uniform,1.2,12.50%,2.78%,12.50%,12.50%
Triangle,0.05,15.62%,14.56%,15.62%,15.62%
Triangle,0.1,16.88%,15.70%,16.88%,16.88%
Triangle,0.2,17.50%,16.50%,17.50%,17.50%
Triangle,0.3,17.50%,16.50%,17.50%,17.50%
Triangle,0.5,17.50%,16.50%,17.50%,17.50%
Triangle,0.6,17.50%,16.50%,17.50%,17.50%
Triangle,0.7,17.50%,16.50%,17.50%,17.50%
Triangle,0.8,17.50%,16.50%,17.50%,17.50%
Triangle,1.0,17.50%,16.50%,17.50%,17.50%
Triangle,1.2,17.50%,16.50%,17.50%,17.50%
Gaussian,0.05,12.50%,10.06%,12.50%,12.50%
Gaussian,0.1,17.50%,16.48%,17.50%,17.50%
Gaussian,0.2,17.50%,16.53%,17.50%,17.50%
Gaussian,0.3,17.50%,16.53%,17.50%,17.50%
Gaussian,0.5,17.50%,16.53%,17.50%,17.50%
Gaussian,0.6,17.50%,16.53%,17.50%,17.50%
Gaussian,0.7,17.50%,16.53%,17.50%,17.50%
Gaussian,0.8,17.50%,16.53%,17.50%,17.50%
Gaussian,1.0,17.50%,16.53%,17.50%,17.50%
Gaussian,1.2,17.50%,16.53%,17.50%,17.50%
Laplacian,0.05,15.62%,14.56%,15.62%,15.62%
Laplacian,0.1,16.88%,15.70%,16.88%,16.88%
Laplacian,0.2,17.50%,16.50%,17.50%,17.50%
Laplacian,0.3,17.50%,16.50%,17.50%,17.50%
Laplacian,0.5,17.50%,16.50%,17.50%,17.50%
Laplacian,0.6,17.50%,16.50%,17.50%,17.50%
Laplacian,0.7,17.50%,16.50%,17.50%,17.50%
Laplacian,0.8,17.50%,16.50%,17.50%,17.50%
Laplacian,1.0,17.50%,16.50%,17.50%,17.50%
Laplacian,1.2,17.50%,16.50%,17.50%,17.50%
Epanechnikov,0.05,11.88%,2.65%,11.88%,11.88%
Epanechnikov,0.1,11.88%,5.43%,11.88%,11.88%
Epanechnikov,0.2,17.50%,15.65%,17.50%,17.50%
Epanechnikov,0.3,17.50%,16.53%,17.50%,17.50%
Epanechnikov,0.5,17.50%,16.53%,17.50%,17.50%
Epanechnikov,0.6,17.50%,16.53%,17.50%,17.50%
Epanechnikov,0.7,17.50%,16.53%,17.50%,17.50%
Epanechnikov,0.8,17.50%,16.53%,17.50%,17.50%
Epanechnikov,1.0,17.50%,16.53%,17.50%,17.50%
Epanechnikov,1.2,17.50%,16.53%,17.50%,17.50%
