video-frame,37-267_0,61-306_0,84-314_0,37-84_0,0-17_0,267-314_0,37-267_1,61-306_1,84-314_1,37-84_1,0-17_1,267-314_1,37-267_2,61-306_2,84-314_2,37-84_2,0-17_2,267-314_2,37-267_3,61-306_3,84-314_3,37-84_3,0-17_3,267-314_3,37-267_4,61-306_4,84-314_4,37-84_4,0-17_4,267-314_4,37-267_5,61-306_5,84-314_5,37-84_5,0-17_5,267-314_5,37-267_6,61-306_6,84-314_6,37-84_6,0-17_6,267-314_6,37-267_7,61-306_7,84-314_7,37-84_7,0-17_7,267-314_7,37-267_8,61-306_8,84-314_8,37-84_8,0-17_8,267-314_8,37-267_9,61-306_9,84-314_9,37-84_9,0-17_9,267-314_9,target
4_2_1_4_30_2,0.011667102575302124,0.03807675838470459,0.01138913631439209,0.026365965604782104,0.026831328868865967,0.02666175365447998,0.012045949697494507,0.04204133152961731,0.013609081506729126,0.037617892026901245,0.0372350811958313,0.03717327117919922,0.01786869764328003,0.05413141846656799,0.018897980451583862,0.053941577672958374,0.05437466502189636,0.053231656551361084,0.01712968945503235,0.05346524715423584,0.0185890793800354,0.060345739126205444,0.06065088510513306,0.0604725182056427,0.019657105207443237,0.06445571780204773,0.019342660903930664,0.03721332550048828,0.036475956439971924,0.03747066855430603,0.021702438592910767,0.070890873670578,0.023634999990463257,0.06647264957427979,0.06726047396659851,0.0667971670627594,0.020606577396392822,0.06960514187812805,0.02163735032081604,0.05036801099777222,0.05060619115829468,0.05055543780326843,0.019415974617004395,0.06269022822380066,0.021122246980667114,0.06717032194137573,0.06868645548820496,0.06860405206680298,0.017174482345581055,0.05238953232765198,0.01945069432258606,0.06938451528549194,0.07001805305480957,0.06896895170211792,0.025796622037887573,0.08050099015235901,0.02893310785293579,0.09761324524879456,0.09899890422821045,0.0975571870803833,4
4_2_1_4_30_3,0.02019399404525757,0.06750306487083435,0.01963171362876892,0.03558826446533203,0.03453725576400757,0.03492581844329834,0.01938912272453308,0.05834481120109558,0.020673155784606934,0.06943899393081665,0.0701436698436737,0.06903636455535889,0.01911407709121704,0.06570795178413391,0.021337419748306274,0.057200729846954346,0.05660891532897949,0.05676543712615967,0.01963534951210022,0.06214955449104309,0.020822763442993164,0.05899658799171448,0.05971944332122803,0.05913513898849487,0.014919638633728027,0.04321625828742981,0.01575934886932373,0.05086982250213623,0.0516432523727417,0.05188113451004028,0.018296122550964355,0.05414065718650818,0.020004600286483765,0.07124191522598267,0.07338333129882812,0.07189714908599854,0.020606577396392822,0.06960514187812805,0.02163735032081604,0.05036801099777222,0.05060619115829468,0.05055543780326843,0.016779661178588867,0.051885634660720825,0.01755160093307495,0.04173094034194946,0.04192322492599487,0.04225724935531616,0.015051841735839844,0.04380711913108826,0.016120046377182007,0.049783855676651,0.051113128662109375,0.050796717405319214,0.013765275478363037,0.043749332427978516,0.01450839638710022,0.0494542121887207,0.05008843541145325,0.050945132970809937,4
4_2_1_4_30_4,0.019705504179000854,0.05983459949493408,0.020314842462539673,0.06829926371574402,0.0692673921585083,0.0687771737575531,0.018053948879241943,0.05895477533340454,0.020277202129364014,0.06985077261924744,0.07136890292167664,0.07110738754272461,0.016121268272399902,0.052259594202041626,0.01661396026611328,0.05389401316642761,0.05511486530303955,0.054482847452163696,0.017115265130996704,0.054301321506500244,0.018540650606155396,0.06565532088279724,0.06640541553497314,0.06587865948677063,0.021931231021881104,0.07218533754348755,0.02347719669342041,0.06976974010467529,0.07028275728225708,0.06948152184486389,0.02157333493232727,0.0669618546962738,0.02311009168624878,0.07461076974868774,0.07650664448738098,0.07551625370979309,0.020948350429534912,0.06404328346252441,0.021520644426345825,0.04818636178970337,0.04729717969894409,0.0481608510017395,0.025299489498138428,0.07944190502166748,0.028152048587799072,0.08943751454353333,0.09085854887962341,0.09056273102760315,0.022479742765426636,0.06247842311859131,0.024341076612472534,0.0956573486328125,0.09811365604400635,0.09526753425598145,0.01258876919746399,0.04227063059806824,0.012588173151016235,0.03952983021736145,0.03920826315879822,0.040188223123550415,4
4_2_1_4_30_5,0.023123890161514282,0.07705822587013245,0.02370014786720276,0.05794787406921387,0.05881398916244507,0.05734160542488098,0.019870460033416748,0.06421664357185364,0.020368516445159912,0.043624937534332275,0.042727768421173096,0.04379069805145264,0.018895715475082397,0.05569922924041748,0.02089393138885498,0.07737857103347778,0.07944181561470032,0.07727274298667908,0.01760891079902649,0.05789723992347717,0.019638895988464355,0.054849773645401,0.05445697903633118,0.055512309074401855,0.021488875150680542,0.06778502464294434,0.023755580186843872,0.08349958062171936,0.08475932478904724,0.08373001217842102,0.02340024709701538,0.07254043221473694,0.023932546377182007,0.07553648948669434,0.07711344957351685,0.07606741786003113,0.02171441912651062,0.0702553391456604,0.023271411657333374,0.06954321265220642,0.06979966163635254,0.06963706016540527,0.02065560221672058,0.0680617094039917,0.018918871879577637,0.03096964955329895,0.02989158034324646,0.031112372875213623,0.013582170009613037,0.0465889573097229,0.01460576057434082,0.05156847834587097,0.05207166075706482,0.05077061057090759,0.018592357635498047,0.05726310610771179,0.019848614931106567,0.0597558319568634,0.06064525246620178,0.06047669053077698,4
4_1_2_1_25_1,0.013067126274108887,0.04045301675796509,0.013670086860656738,0.038055628538131714,0.03828483819961548,0.03759145736694336,0.015758782625198364,0.0453951358795166,0.016459345817565918,0.047352761030197144,0.04852902889251709,0.047221094369888306,0.015525192022323608,0.04963338375091553,0.016119003295898438,0.04204174876213074,0.04292526841163635,0.04198119044303894,0.015383422374725342,0.04992756247520447,0.01550590991973877,0.035435765981674194,0.034591883420944214,0.035313040018081665,0.01731342077255249,0.05698162317276001,0.01826322078704834,0.05141758918762207,0.050989240407943726,0.05098909139633179,0.01956242322921753,0.06225988268852234,0.01924857497215271,0.046134740114212036,0.04543507099151611,0.04627019166946411,0.01739010214805603,0.0578782856464386,0.017102181911468506,0.030837953090667725,0.029799282550811768,0.030497223138809204,0.020040810108184814,0.061087459325790405,0.020957142114639282,0.06040659546852112,0.06017810106277466,0.06092563271522522,0.019101977348327637,0.06066244840621948,0.018202781677246094,0.04973641037940979,0.04878208041191101,0.049386680126190186,0.0188865065574646,0.06026533246040344,0.01810157299041748,0.04742351174354553,0.04708850383758545,0.04752203822135925,4
4_1_2_1_25_2,0.019967645406723022,0.06360217928886414,0.019301950931549072,0.05335795879364014,0.05326813459396362,0.053530365228652954,0.01781618595123291,0.057305872440338135,0.016906172037124634,0.043985217809677124,0.04305198788642883,0.04364040493965149,0.016845405101776123,0.055735111236572266,0.0166323184967041,0.04222458600997925,0.04195976257324219,0.043068915605545044,0.017153412103652954,0.05624431371688843,0.01577693223953247,0.0381198525428772,0.0368286669254303,0.03713572025299072,0.016240626573562622,0.05104738473892212,0.0165407657623291,0.04653662443161011,0.04658922553062439,0.047125428915023804,0.01590263843536377,0.051153987646102905,0.014723777770996094,0.035049885511398315,0.03382676839828491,0.03436547517776489,0.014478415250778198,0.04806405305862427,0.013763904571533203,0.03235578536987305,0.03206026554107666,0.032530635595321655,0.015902578830718994,0.05173009634017944,0.015946924686431885,0.04348820447921753,0.04330456256866455,0.04334726929664612,0.014425218105316162,0.04560059309005737,0.014959931373596191,0.04747423529624939,0.04731908440589905,0.04692387580871582,0.015019118785858154,0.049345552921295166,0.014024317264556885,0.033385515213012695,0.03287696838378906,0.03354552388191223,4
4_1_2_1_25_3,0.015751361846923828,0.050747692584991455,0.016014397144317627,0.04254806041717529,0.04263758659362793,0.04297780990600586,0.013905763626098633,0.04424622654914856,0.01351580023765564,0.03966757655143738,0.039910197257995605,0.040459126234054565,0.013909757137298584,0.03966391086578369,0.014202713966369629,0.05218321084976196,0.05328214168548584,0.052312493324279785,0.01728719472885132,0.055964380502700806,0.016912758350372314,0.04615694284439087,0.04624366760253906,0.046236246824264526,0.014614462852478027,0.047543883323669434,0.014346003532409668,0.03365832567214966,0.03285554051399231,0.03364670276641846,0.01574605703353882,0.04912886023521423,0.015766412019729614,0.043979763984680176,0.04406818747520447,0.04411551356315613,0.014611572027206421,0.048256874084472656,0.013406097888946533,0.028198450803756714,0.02717500925064087,0.027954280376434326,0.016324132680892944,0.05299597978591919,0.016412973403930664,0.04159212112426758,0.041741788387298584,0.04196590185165405,0.014104127883911133,0.04636913537979126,0.014273673295974731,0.03449457883834839,0.034320175647735596,0.03482058644294739,0.014019578695297241,0.04651421308517456,0.014153629541397095,0.03649383783340454,0.036210477352142334,0.03675496578216553,4
4_1_2_1_25_4,0.01447632908821106,0.04570820927619934,0.013604968786239624,0.03534767031669617,0.03497874736785889,0.035169750452041626,0.016092896461486816,0.05369248986244202,0.014246553182601929,0.02763599157333374,0.026693791151046753,0.027842849493026733,0.014334172010421753,0.046467602252960205,0.013947099447250366,0.03282797336578369,0.03299766778945923,0.03292742371559143,0.015548646450042725,0.04858207702636719,0.015397310256958008,0.040666401386260986,0.04011845588684082,0.0402793288230896,0.01633739471435547,0.053121328353881836,0.015842020511627197,0.040957510471343994,0.040404707193374634,0.040863245725631714,0.01508745551109314,0.047871947288513184,0.015684545040130615,0.04465499520301819,0.04485258460044861,0.04483821988105774,0.01932433247566223,0.060575127601623535,0.019856244325637817,0.06186920404434204,0.0628271996974945,0.062255799770355225,0.01620417833328247,0.05064278841018677,0.0167539119720459,0.05146464705467224,0.05142694711685181,0.05148720741271973,0.01967674493789673,0.06333249807357788,0.019171595573425293,0.054530322551727295,0.05523642897605896,0.05497223138809204,0.01767122745513916,0.058360010385513306,0.017123699188232422,0.03894764184951782,0.037462860345840454,0.038575440645217896,4
4_1_2_1_25_5,0.01789376139640808,0.05234846472740173,0.018377959728240967,0.06740862131118774,0.06857788562774658,0.06667086482048035,0.015065550804138184,0.047009408473968506,0.01407727599143982,0.037126898765563965,0.036983489990234375,0.03681620955467224,0.013938754796981812,0.04406169056892395,0.01315242052078247,0.03188362717628479,0.03163719177246094,0.032260894775390625,0.012554049491882324,0.03786429762840271,0.012732267379760742,0.04293188452720642,0.04349863529205322,0.04372909665107727,0.012622296810150146,0.03974190354347229,0.011964678764343262,0.026705503463745117,0.02611711621284485,0.026872307062149048,0.012254655361175537,0.03855222463607788,0.012491613626480103,0.03644692897796631,0.0365043580532074,0.03704079985618591,0.013790100812911987,0.04431372880935669,0.013144701719284058,0.031039118766784668,0.030388236045837402,0.031281858682632446,0.01430627703666687,0.044102609157562256,0.01549375057220459,0.049517542123794556,0.05015578866004944,0.049904972314834595,0.01699686050415039,0.05380362272262573,0.016670674085617065,0.04397359490394592,0.04407575726509094,0.044142186641693115,0.013998866081237793,0.0453258752822876,0.014357268810272217,0.038063645362854004,0.037399888038635254,0.03807556629180908,4
4_1_2_8_25_1,0.01877465844154358,0.05819535255432129,0.01874670386314392,0.03357720375061035,0.0336281955242157,0.033523499965667725,0.015916407108306885,0.05099576711654663,0.01486357053120931,0.03709412614504496,0.036657512187957764,0.037061462799708046,0.013698488473892212,0.046908050775527954,0.013160347938537598,0.028127342462539673,0.02684679627418518,0.027747690677642822,0.011817336082458496,0.03985592722892761,0.011827141046524048,0.03420311212539673,0.03316080570220947,0.03372994065284729,0.012494280934333801,0.04067990183830261,0.011875301599502563,0.02932792901992798,0.02855728566646576,0.029276281595230103,0.016958653926849365,0.05873626470565796,0.015721440315246582,0.031118333339691162,0.03065788745880127,0.03197184205055237,0.01708310842514038,0.05911886692047119,0.015698611736297607,0.03543037176132202,0.03483062982559204,0.036679625511169434,0.01697230339050293,0.05992007255554199,0.015424847602844238,0.0335366427898407,0.032958418130874634,0.03505614399909973,0.01698976755142212,0.05869150161743164,0.015539050102233887,0.036750584840774536,0.03651145100593567,0.03821203112602234,0.016730129718780518,0.05777692794799805,0.015428662300109863,0.037262529134750366,0.03702130913734436,0.03874295949935913,4
